AuthorID,Author,Date,Content,Attachments,Reactions
"1278564815102808175","Alura","2024-09-05T14:36:59.4720000-03:00","Novo projeto recebido!","","⭐ (45)"
"1278564815102808175","Alura","2024-09-05T14:41:03.3640000-03:00","Novo projeto recebido!","","⭐ (16)"
"1278564815102808175","Alura","2024-09-05T14:42:33.8440000-03:00","Novo projeto recebido!","","⭐ (71)"
"1278564815102808175","Alura","2024-09-05T14:50:14.0270000-03:00","Novo projeto recebido!","","⭐ (155)"
"1278564815102808175","Alura","2024-09-05T14:50:33.5480000-03:00","Novo projeto recebido!","","⭐ (20)"
"1278564815102808175","Alura","2024-09-05T14:51:20.6670000-03:00","Novo projeto recebido!","","⭐ (13)"
"1278564815102808175","Alura","2024-09-05T15:03:11.5070000-03:00","Novo projeto recebido!","","⭐ (16)"
"1278564815102808175","Alura","2024-09-05T15:05:10.1370000-03:00","Novo projeto recebido!","","⭐ (14)"
"1278564815102808175","Alura","2024-09-05T15:06:44.8120000-03:00","Novo projeto recebido!","","⭐ (16)"
"1278564815102808175","Alura","2024-09-05T15:09:46.9400000-03:00","Novo projeto recebido!","","⭐ (16)"
"1278564815102808175","Alura","2024-09-05T15:23:29.4230000-03:00","Novo projeto recebido!","","⭐ (14)"
"1278564815102808175","Alura","2024-09-05T15:37:21.1660000-03:00","Novo projeto recebido!","","⭐ (13)"
"1278564815102808175","Alura","2024-09-05T15:56:01.9790000-03:00","Novo projeto recebido!","","⭐ (12)"
"1278564815102808175","Alura","2024-09-05T16:03:06.3430000-03:00","Novo projeto recebido!","","⭐ (24)"
"1278564815102808175","Alura","2024-09-05T16:06:33.6820000-03:00","Novo projeto recebido!","","⭐ (57)"
"1278564815102808175","Alura","2024-09-05T16:07:30.9400000-03:00","Novo projeto recebido!","","⭐ (112)"
"1278564815102808175","Alura","2024-09-05T16:12:06.4510000-03:00","Novo projeto recebido!","","⭐ (11)"
"1278564815102808175","Alura","2024-09-05T16:14:04.8770000-03:00","Novo projeto recebido!","","⭐ (74)"
"1278564815102808175","Alura","2024-09-05T16:17:36.9160000-03:00","Novo projeto recebido!","","⭐ (8)"
"1278564815102808175","Alura","2024-09-05T16:18:55.2030000-03:00","Novo projeto recebido!","","⭐ (9)"
"1278564815102808175","Alura","2024-09-05T16:22:08.3340000-03:00","Novo projeto recebido!","","⭐ (9)"
"1278564815102808175","Alura","2024-09-05T16:26:13.1250000-03:00","Novo projeto recebido!","","⭐ (196)"
"1278564815102808175","Alura","2024-09-05T16:28:41.5550000-03:00","Novo projeto recebido!","","⭐ (19)"
"1278564815102808175","Alura","2024-09-05T16:34:41.5600000-03:00","Novo projeto recebido!","","⭐ (13)"
"1278564815102808175","Alura","2024-09-05T16:36:03.1260000-03:00","Novo projeto recebido!","","⭐ (12)"
"1278564815102808175","Alura","2024-09-05T16:39:24.3660000-03:00","Novo projeto recebido!","","⭐ (11)"
"1278564815102808175","Alura","2024-09-05T16:44:53.4810000-03:00","Novo projeto recebido!","","⭐ (10)"
"1278564815102808175","Alura","2024-09-05T16:57:54.8080000-03:00","Novo projeto recebido!","","⭐ (31)"
"1278564815102808175","Alura","2024-09-05T17:07:59.1930000-03:00","Novo projeto recebido!","","⭐ (67)"
"1278564815102808175","Alura","2024-09-05T17:20:15.1820000-03:00","Novo projeto recebido!","","⭐ (14)"
"1278564815102808175","Alura","2024-09-05T17:21:54.5810000-03:00","Novo projeto recebido!","","⭐ (13)"
"1278564815102808175","Alura","2024-09-05T17:29:37.4690000-03:00","Novo projeto recebido!","","⭐ (25)"
"1278564815102808175","Alura","2024-09-05T17:30:49.7690000-03:00","Novo projeto recebido!","","⭐ (16)"
"1278564815102808175","Alura","2024-09-05T17:30:59.4060000-03:00","Novo projeto recebido!","","⭐ (18)"
"1278564815102808175","Alura","2024-09-05T17:32:14.8990000-03:00","Novo projeto recebido!","","⭐ (13)"
"1278564815102808175","Alura","2024-09-05T17:32:34.0460000-03:00","Novo projeto recebido!","","⭐ (11)"
"1278564815102808175","Alura","2024-09-05T17:34:13.4470000-03:00","Novo projeto recebido!","","⭐ (10)"
"1278564815102808175","Alura","2024-09-05T17:38:44.7580000-03:00","Novo projeto recebido!","","⭐ (8)"
"1278564815102808175","Alura","2024-09-05T17:38:47.9290000-03:00","Novo projeto recebido!","","⭐ (17)"
"1278564815102808175","Alura","2024-09-05T17:44:23.1850000-03:00","Novo projeto recebido!","","⭐ (13)"
"1278564815102808175","Alura","2024-09-05T17:44:27.6930000-03:00","Novo projeto recebido!","","⭐ (14)"
"1278564815102808175","Alura","2024-09-05T17:48:51.3150000-03:00","Novo projeto recebido!","","⭐ (9)"
"1278564815102808175","Alura","2024-09-05T17:55:08.4000000-03:00","Novo projeto recebido!","","⭐ (33)"
"1278564815102808175","Alura","2024-09-05T18:06:04.8430000-03:00","Novo projeto recebido!","","⭐ (8)"
"1278564815102808175","Alura","2024-09-05T18:07:31.3280000-03:00","Novo projeto recebido!","","⭐ (17)"
"1278564815102808175","Alura","2024-09-05T18:09:49.6680000-03:00","Novo projeto recebido!","","⭐ (7)"
"1278564815102808175","Alura","2024-09-05T18:11:44.8180000-03:00","Novo projeto recebido!","","⭐ (33)"
"1278564815102808175","Alura","2024-09-05T18:17:34.9980000-03:00","Novo projeto recebido!","","⭐ (13)"
"1278564815102808175","Alura","2024-09-05T18:25:06.7810000-03:00","Novo projeto recebido!","","⭐ (7)"
